witness_id,witness_group,language,language_he,full_label,shelfmark,material_format,dimensions_cm,lines_per_page,condition,script_hand,date_approx,vocalization,line_fillers_quire,text_coverage,manuscript_context,textual_characteristics,biblical_verses_language,name_spellings,include_in_synopsis,bohak_intro_pages,summary_paragraph_he,notes_for_digital_edition
Ar1,direct,Aramaic,ארמית,Aramaic 1,"Cambridge, T-S Misc. 35.87",Paper; bifolium,20 x 29.8,32-34,Several small holes; first page badly effaced; some readings improved by multispectral image.,Oriental hand,11th-12th century,Two words vocalised; Tiberian vocalisation,"Occasional elongated letters at line-ends; four pages read consecutively, perhaps central bifolium or irregular quire.",Begins missing; extant text runs from 5.4 to the end of the narrative.,After the text: short Judaeo-Arabic unit on birds in Lev. 11.13-19 and a Judaeo-Arabic discussion of shofar-blows.,Numerous scribal errors; useful but often corrupt Aramaic witness.,"Hebrew in 5.5-5.9 and 6.10; Aramaic in 8.1, 8.3, 8.7.","Yeshu: יישו x24; Pilatus: פילטוס x6, פלטוס x1, )א(אליגוס x2.",Yes,Introduction pp. 7-9,"Ar1 הוא עד ארמי קדום מן הגניזה, השומר את חלקו המאוחר של החיבור מ-5.4 ועד הסוף. בוהק מדגיש את חשיבותו לצד הבעייתיות שלו: הוא פגום פיזית, חלקו מחוק, וניכרים בו שיבושי סופר רבים. עם זאת, הוא מן העדים המרכזיים לשחזור הרצף הארמי המאוחר של החיבור.",Mark as fragmentary and partly effaced; retain scribal-error notes; link to sections 5.4-9.5.
Ar2,direct,Aramaic,ארמית,Aramaic 2,"Cambridge, T-S Misc. 35.88",Paper; single folio,21.2 x 15.5,17-19,Small part missing; small holes; some effaced writing; readings improved by multispectral image.,Oriental hand,12th-13th century,Two words vocalised; Tiberian vocalisation,No line-fillers; larger spaces between sentences; possible change of scribe around verso line 5.,Extant text runs from 7.1 to 8.6.,No additional manuscript context noted in the description.,Close to Ar1; differences mostly dialectal; has more Palestinian Jewish Aramaic forms than the other Aramaic fragments; relatively few scribal errors.,Aramaic in 8.1 and 8.3.,Yeshu: ישו x5.,Yes,Introduction pp. 9-10,"Ar2 הוא דף ארמי יחיד, מקביל בעיקר לחלק מן היחידה על הוצאת יוחנן וישו להורג וגורל גופת ישו. הוא קרוב מאוד ל-Ar1, אך בוהק מציין שמבחינה לשונית הוא מציג יותר צורות של ארמית יהודית ארץ-ישראלית. בשל קיטועם של שני העדים קשה לקבוע מי מהם משמר נוסח קדום יותר.",Useful for dialectal comparison with Ar1; mark coverage only 7.1-8.6.
Ar3,direct,Aramaic,ארמית,Aramaic 3,"Cambridge, T-S NS 298.56 + New York, JTS 2529.2 (Adler 2102.2)",Paper; one folio + bifolium,18.2 x 13.8; 12.2 x 27,Not consistently stated,"T-S NS 298.56 nearly complete with small holes; JTS bifolium missing top part, creating large lacunae.",Oriental hand,12th-13th century,Several words partly/fully vocalised; Tiberian vocalisation,Highly unusual wedge-like line-fillers; some diagonal end-line words; fragments written by same scribe.,"4.1-5.1; 5.9-6.6; 8.7-9.2, with large lacunae where tops of folios are missing.",Possibly same manuscript as JA3; may have contained Aramaic version followed by Judaeo-Arabic translation.,Only Aramaic witness for 4.1-5.1; text is clearly faulty in several places and shows numerous corruptions where comparison is possible.,Hebrew in 5.9; Aramaic in 8.7.,Yeshu: ישו x11; Pilatus: אגליטוס x2.,Yes,Introduction pp. 10-14,"Ar3 הוא עד ארמי מורכב משני קטעי גניזה שנכתבו באותו כתב יד, עם סימני מילוי שורה חריגים. הוא חשוב מפני שהוא העד הארמי היחיד לקטעים 4.1-5.1, אך בוהק מדגיש שהטקסט שלו משובש במקומות רבים. ייתכן שהוא היה חלק ממסורת דו-לשונית שבה הופיע גם תרגום ערבי-יהודי.",Flag as important but textually corrupt; possible relationship to JA3 should be represented in witness metadata.
Ar4,direct,Aramaic,ארמית,Aramaic 4,"New York, JTS 2529.1 (Adler 2102.1)",Paper; single folio,16.4 x 12.3,18-19,Two large holes; some writing effaced.,Oriental hand,12th-13th century,Two words vocalised; Tiberian vocalisation,Elongated letters or first letters of next word as line-fillers.,Middle of 8.1 to 9.2; omits 8.8.,No additional manuscript context noted in the description.,Closely parallels Ar1; relatively free of scribal errors except recurring misreadings of suffixes and one dittography.,Aramaic in 8.3 and 8.7.,"Yeshu: ישו x3, יישו x3; Pilatus: פלטוס x3.",Yes,Introduction pp. 14-15,"Ar4 הוא דף ארמי יחיד מן החלק המאוחר של החיבור. הוא מקביל מאוד ל-Ar1, ולכן מועיל במיוחד לבדיקת נוסח 8.1-9.2, אף שהוא חסר את 8.8. בוהק מציין שהוא נקי יחסית משגיאות, מלבד דפוס מסוים של קריאה שגויה בסופי מילים.",Use to control Ar1 in 8.1-9.2; encode omission of 8.8 explicitly.
Ar5,direct,Aramaic,ארמית,Aramaic 5,"Manchester, John Rylands Library B 3791",Paper; single folio,12.9 x 8.3,10-12,Two large holes; some darkened and hard-to-read text.,Oriental hand,11th century,No vocalisation,Uses first letters of next word as line-fillers.,End of 5.8 to beginning of 6.3.,No additional manuscript context noted in the description.,Very small fragment; textual quality cannot be assessed. In 5.9 shares a Hebrew-like word choice with Ar3.,Hebrew in 5.8-5.9.,Yeshu: ישו x2.,Yes,Introduction p. 15,"Ar5 הוא קטע ארמי קטן מאוד וקדום יחסית, מן המאה האחת-עשרה, המשמר רק את סוף 5.8 עד ראשית 6.3. בשל קוטנו אין אפשרות להעריך היטב את טיבו הכולל, אך הוא עדיין חשוב כעד נוסף לאזור המעבר בין משפט התלמידים לבין סצנת טיברינוס.",Mark as very fragmentary; do not over-weight in reconstruction.
JA1,direct,Judaeo-Arabic,ערבית-יהודית,Judaeo-Arabic 1,"Cambridge, T-S NS 298.55 + T-S 8 Ka 7.4 + London, BL Or. 6197.7-8",Paper; three bifolia read consecutively,16.5-17 x 24.5-26,13-18,Generally well preserved; small holes in two fragments and larger holes at top of T-S NS 298.55.,"Oriental hand; crude handwriting, probably quasi-professional scribe",11th-12th century,Not specified,Irregular quire; each bifolium read consecutively rather than nested.,Probably begins at start of text on first page; text ends in middle of BL Or. 6197.7-8 page 2; overall the only fully preserved Judaeo-Arabic version.,Followed by Hebrew piyyutim: a praise of God and a confession prayer by Nissi al-Nahrwani; possible liturgical/synagogal context.,"Directly translated from Aramaic but not always faithful; sometimes paraphrases, abridges, expands, and uses terminology from a Muslim environment; tends to soften some hostile epithets for Yeshu.",Hebrew in 5.5-5.9 and 9.5; Judaeo-Arabic in 8.7 and 9.4.,Yeshu: ישו x22; Pilatus: פלטוס x3.,Yes,Introduction pp. 15-19,"JA1 הוא העד הערבי-יהודי המרכזי והיחיד בקבוצה זו שנשמר כמעט בשלמות. בוהק מדגיש שהוא תרגום מן הארמית, אך תרגום שעבר עיבוד: לעיתים הוא מקצר, לעיתים מרחיב, ולעיתים משתמש במונחים מן הסביבה המוסלמית. הוא גם נוטה לרכך חלק מן הביטויים הקשים נגד ישו.",Treat as complete Judaeo-Arabic version but not a literal Aramaic translation; tag Islamic terminology and paraphrastic expansions.
JA2,direct,Judaeo-Arabic,ערבית-יהודית,Judaeo-Arabic 2,"Cambridge, T-S NS 246.24",Paper; bifolium,15.9 x 24.7,17-18,Numerous small holes; page 4 blank; ink corrosion makes reading difficult in many places.,Oriental hand,13th century or earlier; possibly 12th century,Not specified,Three non-consecutive pages; original quire structure uncertain.,Middle of 5.9 to 6.6; end of 8.1 to 8.7.,No additional manuscript context noted in the description.,Represents a different Judaeo-Arabic translation from JA1; generally a faithful translation of its Aramaic Vorlage and especially close to Ar1; lacks JA1 paraphrastic additions and Islamic terminology.,"Judaeo-Arabic in 5.9, 8.1, 8.3, 8.7.","Yeshu: ישו x8; Pilatus: פליטוס x3, פלטוס x1.",Yes,Introduction pp. 19-21,"JA2 הוא עד ערבי-יהודי מקוטע, אך חשוב משום שהוא מייצג תרגום אחר מן JA1. לפי בוהק, הוא נאמן הרבה יותר לנוסח הארמי שממנו תורגם, ואף קרוב במיוחד ל-Ar1. בניגוד ל-JA1, אין בו את רוב ההרחבות הפרפרסטיות והמינוח האסלאמי הבולט.",Good control witness for Aramaic Vorlage; distinguish translation layer from JA1.
JA3,direct,Judaeo-Arabic,ערבית-יהודית,Judaeo-Arabic 3,"Cambridge, T-S NS 224.123","Paper; single folio, top missing",12 x 13.7,Not stated,Top part missing.,"Oriental hand, identical with Ar3",12th-13th century,No vocalisation in extant text,Same wedge-like signs and diagonal end-line words as Ar3.,"End of 2.3 to beginning of 3.8, with lacuna in 3.6.",May come from same manuscript as Ar3; possible Aramaic text followed by Judaeo-Arabic translation.,"Not overlapping with extant Ar3; translation differs from JA1; may be same translation as JA2, though not certain.",No biblical citations in extant text.,Yeshu: יסוע x1.,Yes,Introduction pp. 21-22,"JA3 הוא דף ערבי-יהודי קטן שנכתב בידי אותו סופר שכתב את Ar3, ואולי השתייך לאותו כתב יד. הוא משמר חלקים מן הפרקים המוקדמים יחסית, 2.3-3.8. בוהק סבור שהוא שונה מן התרגום של JA1, ואולי קרוב ל-JA2, אך היקף החומר אינו מאפשר הכרעה מלאה.",Represent possible relationship with Ar3 and possible translation relationship with JA2 as uncertain metadata.
Heb1,direct,Hebrew,עברית,Hebrew 1,"St. Petersburg, RNL EVR 1.274, fols. 21v-27v",Paper quire; quaternion,14.7 x 10.5 per folio,Not stated,Well preserved except slightly damaged lower margins; first page and last 2.5 pages blank.,Byzantine hand,Copied in 1536 CE according to colophon,Not specified,Self-standing unit within quire.,Fully preserved Hebrew version including long introductory interpolation 0.0-0.14.,Bound with several unrelated quires; the relevant quire is self-standing.,"Main Hebrew text translated from Aramaic; contains long introductory interpolation from a Byzantine Hebrew Toledot Yeshu text, probably Helena recension; full of contradictions caused by this combination.",Hebrew throughout.,"Yeshu: ישוע x3, ישו x20, יישו x20; Pilatus: פילטוס x8, פלטוס forms and אלטיגוס/איליגוס variants.",Yes,Introduction pp. 23-24,"Heb1 הוא נוסח עברי שלם יחסית, שנעתק בשנת 1536 בידי ישראל בן יקותיאל. עיקרו תרגום מן הארמית, אך בראשו נוספה אינטרפולציה עברית ארוכה ממסורת אחרת של תולדות ישו, כנראה רצנזיית הלנה. לכן הוא עד חשוב אך גם מורכב, מפני שהוא יוצר חיבור משולב ורווי מתחים פנימיים.",Separate 0.0-0.14 interpolation layer from main Pilate recension; mark copied date and colophon.
Heb2,direct,Hebrew,עברית,Hebrew 2,"New York, JTS 8998, fols. 4v-6v",Paper; 3 bifolios folded inside each other,22.7 x 28.8 per bifolium,Not stated,Several folios probably missing before fol. 4r; text breaks off at 8.7 and continued on missing folio.,Oriental hands,13th century,Not specified,Part of a miscellany; Toledot text follows halakhic discussions.,"1.1 to 8.7, breaking off at end of fol. 6v.",Fols. 1r-4v include halakhic discussions on menstrual purity and Sabbath; Toledot begins after a Judeo-Arabic ending formula.,Close to Heb3 and ultimately based on same Hebrew translation from Aramaic; often printed alongside Heb3; Yehudah called הפרדסי throughout.,Hebrew throughout.,"Yeshu: ישוע x20, ישע x1; Pilatus: פטלוס x9.",Yes,"Introduction pp. 24-25, 27-29","Heb2 הוא עד עברי מגניזת קהיר כנראה, המשמר את תחילת החיבור עד 8.7 ונקטע שם. הוא קרוב מאוד ל-Heb3, ושניהם מבוססים על תרגום עברי אחד מן הארמית. בוהק מדגיש את קרבתם אך גם את הצורך להדפיסם בנפרד, מפני שכל אחד מהם שומר שיבושים ותיקונים משלו.",Represent together with Heb3 as related witnesses but keep separate rows and readings.
